fileName,spoofType,illuminationCondition,environment,isSpoof
Data/train/2623/live/000000.jpg,0,0,0,0
Data/train/5489/spoof/000001.jpg,6,1,1,1
Data/train/7149/spoof/000002.jpg,7,1,1,1
Data/train/4980/spoof/000003.jpg,5,1,2,1
Data/train/7124/spoof/000004.jpg,7,4,2,1
Data/train/7013/live/000005.jpg,0,0,0,0
Data/train/1857/live/000006.jpg,0,0,0,0
Data/train/8206/spoof/000007.jpg,9,2,1,1
Data/train/6980/spoof/000008.jpg,7,1,2,1
Data/train/5319/live/000009.jpg,0,0,0,0
Data/train/2710/spoof/000010.jpg,3,3,1,1
Data/train/8032/spoof/000011.jpg,8,1,2,1
Data/train/5817/live/000012.jpg,0,0,0,0
Data/train/9575/spoof/000013.jpg,10,1,1,1
Data/train/354/live/000014.jpg,0,0,0,0
Data/train/8134/spoof/000015.jpg,8,4,2,1
Data/train/2015/spoof/000016.jpg,2,3,2,1
Data/train/7657/live/000017.jpg,0,0,0,0
Data/train/2672/spoof/000018.jpg,3,2,1,1
Data/train/10044/live/000019.jpg,0,0,0,0
Data/train/4206/spoof/000020.jpg,5,1,1,1
Data/train/4175/spoof/000021.jpg,5,1,1,1
Data/train/3287/spoof/000022.jpg,4,1,1,1
Data/train/5776/spoof/000023.jpg,6,3,1,1
Data/train/9995/spoof/000024.jpg,10,1,2,1
Data/train/4255/spoof/000025.jpg,5,1,1,1
Data/train/7897/spoof/000026.jpg,8,4,1,1
Data/train/8451/spoof/000027.jpg,9,1,1,1
Data/train/9778/spoof/000028.jpg,10,3,1,1
Data/train/4449/spoof/000029.jpg,5,1,1,1
Data/train/5939/spoof/000030.jpg,6,1,2,1
Data/train/1603/spoof/000031.jpg,2,2,1,1
Data/train/7476/live/000032.jpg,0,0,0,0
Data/train/9441/spoof/000033.jpg,10,1,1,1
Data/train/4212/spoof/000034.jpg,5,1,1,1
Data/train/2417/spoof/000035.jpg,3,1,1,1
Data/train/8687/live/000036.jpg,0,0,0,0
Data/train/6449/spoof/000037.jpg,7,1,1,1
Data/train/6571/spoof/000038.jpg,7,1,1,1
Data/train/476/spoof/000039.jpg,1,2,1,1
Data/train/4353/spoof/000040.jpg,5,1,1,1
Data/train/9544/spoof/000041.jpg,10,1,1,1
Data/train/6142/live/000042.jpg,0,0,0,0
Data/train/10149/spoof/000043.jpg,10,3,2,1
Data/train/1854/spoof/000044.jpg,2,1,2,1
Data/train/6927/spoof/000045.jpg,7,1,2,1
Data/train/8014/spoof/000046.jpg,8,1,2,1
Data/train/1035/live/000047.jpg,0,0,0,0
Data/train/3070/spoof/000048.jpg,3,4,2,1
Data/train/7654/live/000049.jpg,0,0,0,0
Data/train/2635/spoof/000050.jpg,3,2,1,1
Data/train/7904/spoof/000051.jpg,8,4,1,1
Data/train/4852/spoof/000052.jpg,5,4,1,1
Data/train/5739/live/000053.jpg,0,0,0,0
Data/train/3800/spoof/000054.jpg,4,4,1,1
Data/train/9103/spoof/000055.jpg,9,2,2,1
Data/train/2076/live/000056.jpg,0,0,0,0
Data/train/8876/live/000057.jpg,0,0,0,0
Data/train/3353/live/000058.jpg,0,0,0,0
Data/train/9429/spoof/000059.jpg,10,1,1,1
