path,spoofType,illuminationCondition,environment,isSpoof
Data/test/6964/spoof/494405.png,4,2,2,1
Data/test/6407/spoof/494411.png,3,1,2,1
Data/test/6153/spoof/494412.png,3,1,1,1
Data/test/6411/live/494418.png,0,0,0,0
Data/test/6336/spoof/494419.png,3,1,1,1
Data/test/5162/live/494421.png,0,0,0,0
Data/test/6074/live/494424.png,0,0,0,0
Data/test/7483/live/494428.png,0,0,0,0
Data/test/9735/spoof/494436.png,7,1,1,1
Data/test/4943/live/494437.png,0,0,0,0
Data/test/6617/spoof/494438.png,4,1,1,1
Data/test/6178/live/494439.png,0,0,0,0
Data/test/6399/spoof/494442.png,3,1,1,1
Data/test/10047/spoof/494443.png,7,1,1,1
Data/test/6441/spoof/494449.png,3,1,1,1
Data/test/7193/spoof/494455.png,7,1,1,1
Data/test/5567/live/494456.png,0,0,0,0
Data/test/5023/spoof/494457.png,7,1,1,1
Data/test/6313/spoof/494458.png,3,1,1,1
Data/test/6843/spoof/494468.png,7,1,1,1
Data/test/6657/live/494469.png,0,0,0,0
Data/test/4996/live/494473.png,0,0,0,0
Data/test/6506/spoof/494476.png,3,4,1,1
Data/test/6144/spoof/494477.png,3,1,1,1
Data/test/6293/spoof/494481.png,3,4,1,1
Data/test/9217/spoof/494483.png,7,1,1,1
Data/test/6248/spoof/494484.png,3,1,1,1
Data/test/6441/spoof/494489.png,3,1,1,1
Data/test/7306/live/494491.png,0,0,0,0
Data/test/5228/live/494497.png,0,0,0,0
Data/test/5206/live/494500.png,0,0,0,0
Data/test/6172/spoof/494503.png,3,1,1,1
Data/test/6656/spoof/494504.png,4,1,1,1
Data/test/6239/spoof/494507.png,3,1,1,1
Data/test/9680/spoof/494508.png,7,1,1,1
Data/test/7278/spoof/494510.png,7,1,1,1
Data/test/6306/live/494515.png,0,0,0,0
Data/test/6604/spoof/494524.png,4,1,1,1
Data/test/6891/live/494525.png,0,0,0,0
Data/test/6267/live/494526.png,0,0,0,0
Data/test/7012/spoof/494527.png,4,1,1,1
Data/test/6677/spoof/494529.png,4,1,1,1
Data/test/6726/live/494537.png,0,0,0,0
Data/test/6245/spoof/494538.png,3,1,1,1
Data/test/7854/spoof/494541.png,7,1,1,1
Data/test/7429/live/494542.png,0,0,0,0
Data/test/6074/live/494545.png,0,0,0,0
Data/test/6837/live/494551.png,0,0,0,0
Data/test/5226/spoof/494552.png,7,1,1,1
Data/test/6267/spoof/494555.png,3,1,1,1
Data/test/6038/live/494556.png,0,0,0,0
Data/test/6399/spoof/494557.png,3,1,1,1
Data/test/9680/spoof/494558.png,7,1,1,1
Data/test/6289/spoof/494559.png,3,3,1,1
Data/test/6135/live/494562.png,0,0,0,0
Data/test/5284/live/494568.png,0,0,0,0
Data/test/6920/live/494569.png,0,0,0,0
Data/test/6708/spoof/494570.png,4,1,1,1
Data/test/6090/spoof/494574.png,3,1,1,1
Data/test/5091/spoof/494577.png,7,1,1,1
Data/test/6158/spoof/494578.png,3,1,1,1
Data/test/5774/spoof/494581.png,7,1,1,1
