path,spoofType,illuminationCondition,environment,isSpoof
Data/train/4980/spoof/000003.jpg,5,1,2,1
Data/train/1857/live/000006.jpg,0,0,0,0
Data/train/8206/spoof/000007.jpg,9,2,1,1
Data/train/8032/spoof/000011.jpg,8,1,2,1
Data/train/354/live/000014.jpg,0,0,0,0
Data/train/8134/spoof/000015.jpg,8,4,2,1
Data/train/2015/spoof/000016.jpg,2,3,2,1
Data/train/7657/live/000017.jpg,0,0,0,0
Data/train/4206/spoof/000020.jpg,5,1,1,1
Data/train/4175/spoof/000021.jpg,5,1,1,1
Data/train/4255/spoof/000025.jpg,5,1,1,1
Data/train/7897/spoof/000026.jpg,8,4,1,1
Data/train/8451/spoof/000027.jpg,9,1,1,1
Data/train/4449/spoof/000029.jpg,5,1,1,1
Data/train/1603/spoof/000031.jpg,2,2,1,1
Data/train/7476/live/000032.jpg,0,0,0,0
Data/train/4212/spoof/000034.jpg,5,1,1,1
Data/train/8687/live/000036.jpg,0,0,0,0
Data/train/476/spoof/000039.jpg,1,2,1,1
Data/train/4353/spoof/000040.jpg,5,1,1,1
Data/train/1854/spoof/000044.jpg,2,1,2,1
Data/train/8014/spoof/000046.jpg,8,1,2,1
Data/train/1035/live/000047.jpg,0,0,0,0
Data/train/7654/live/000049.jpg,0,0,0,0
Data/train/7904/spoof/000051.jpg,8,4,1,1
Data/train/4852/spoof/000052.jpg,5,4,1,1
Data/train/9103/spoof/000055.jpg,9,2,2,1
Data/train/8876/live/000057.jpg,0,0,0,0
Data/train/668/spoof/000060.jpg,1,4,1,1
Data/train/8733/live/000062.jpg,0,0,0,0
Data/train/1603/live/000064.jpg,0,0,0,0
Data/train/1611/spoof/000070.jpg,2,2,1,1
Data/train/8111/spoof/000073.jpg,8,3,2,1
Data/train/492/live/000075.jpg,0,0,0,0
Data/train/8157/spoof/000076.jpg,9,1,1,1
Data/train/1107/spoof/000077.jpg,2,1,1,1
Data/train/5096/spoof/000081.jpg,5,4,2,1
Data/train/8744/spoof/000082.jpg,9,2,1,1
Data/train/8919/live/000083.jpg,0,0,0,0
Data/train/4758/spoof/000084.jpg,5,3,1,1
Data/train/542/spoof/000085.jpg,1,2,1,1
Data/train/7539/spoof/000086.jpg,8,1,1,1
Data/train/4433/spoof/000087.jpg,5,1,1,1
Data/train/7647/spoof/000089.jpg,8,2,1,1
Data/train/5109/spoof/000090.jpg,5,1,1,1
Data/train/7582/live/000091.jpg,0,0,0,0
Data/train/1786/spoof/000092.jpg,2,4,1,1
Data/train/8112/spoof/000093.jpg,8,3,2,1
Data/train/1011/spoof/000095.jpg,1,1,1,1
Data/train/4734/spoof/000096.jpg,5,3,1,1
Data/train/7870/spoof/000097.jpg,8,4,1,1
Data/train/8422/live/000098.jpg,0,0,0,0
Data/train/2028/live/000099.jpg,0,0,0,0
Data/train/1138/spoof/000100.jpg,2,1,1,1
Data/train/8656/spoof/000101.jpg,9,2,1,1
Data/train/8014/live/000103.jpg,0,0,0,0
Data/train/4455/spoof/000105.jpg,5,1,1,1
Data/train/562/spoof/000106.jpg,1,2,1,1
Data/train/8538/live/000111.jpg,0,0,0,0
Data/train/963/live/000113.jpg,0,0,0,0
Data/train/7388/spoof/000114.jpg,8,1,1,1
Data/train/9090/spoof/000118.jpg,9,2,2,1
Data/train/1482/live/000119.jpg,0,0,0,0
Data/train/8482/spoof/000128.jpg,9,1,1,1
Data/train/4324/spoof/000129.jpg,5,1,1,1
Data/train/8615/spoof/000134.jpg,9,3,1,1
Data/train/8919/live/000136.jpg,0,0,0,0
Data/train/7457/spoof/000139.jpg,8,1,1,1
Data/train/207/live/000140.jpg,0,0,0,0
Data/train/206/live/000142.jpg,0,0,0,0
Data/train/273/spoof/000143.jpg,1,1,1,1
Data/train/4257/spoof/000145.jpg,5,1,1,1
Data/train/8513/spoof/000147.jpg,9,1,1,1
Data/train/7873/spoof/000148.jpg,8,4,1,1
Data/train/7326/spoof/000149.jpg,8,1,1,1
Data/train/391/spoof/000152.jpg,1,1,1,1
Data/train/9077/live/000156.jpg,0,0,0,0
Data/train/149/spoof/000158.jpg,1,1,1,1
Data/train/894/spoof/000160.jpg,1,1,2,1
Data/train/7611/spoof/000165.jpg,8,2,1,1
Data/train/7260/spoof/000166.jpg,8,1,1,1
Data/train/7748/spoof/000168.jpg,8,3,1,1
Data/train/8970/spoof/000170.jpg,9,1,2,1
Data/train/1824/live/000179.jpg,0,0,0,0
Data/train/8440/spoof/000180.jpg,9,1,1,1
Data/train/1454/spoof/000181.jpg,2,1,1,1
Data/train/7464/live/000182.jpg,0,0,0,0
Data/train/1/live/000184.jpg,0,0,0,0
Data/train/4585/spoof/000185.jpg,5,2,1,1
Data/train/918/spoof/000186.jpg,1,2,2,1
Data/train/687/spoof/000187.jpg,1,4,1,1
Data/train/7221/spoof/000189.jpg,8,1,1,1
Data/train/7569/live/000190.jpg,0,0,0,0
Data/train/1447/spoof/000192.jpg,2,1,1,1
Data/train/8974/spoof/000193.jpg,9,1,2,1
Data/train/7427/spoof/000194.jpg,8,1,1,1
Data/train/5110/spoof/000195.jpg,5,1,1,1
Data/train/401/live/000196.jpg,0,0,0,0
Data/train/9011/spoof/000198.jpg,9,1,2,1
Data/train/1969/spoof/000199.jpg,2,2,2,1
Data/train/7165/live/000200.jpg,0,0,0,0
Data/train/7903/spoof/000201.jpg,8,4,1,1
Data/train/7996/spoof/000203.jpg,8,1,2,1
Data/train/7449/live/000205.jpg,0,0,0,0
Data/train/1574/spoof/000206.jpg,2,2,1,1
Data/train/5063/spoof/000210.jpg,5,3,2,1
Data/train/1087/live/000212.jpg,0,0,0,0
Data/train/4972/spoof/000213.jpg,5,1,2,1
Data/train/7481/spoof/000214.jpg,8,1,1,1
Data/train/7582/spoof/000215.jpg,8,1,1,1
Data/train/417/spoof/000218.jpg,1,1,1,1
Data/train/4640/live/000220.jpg,0,0,0,0
Data/train/1667/spoof/000221.jpg,2,3,1,1
Data/train/4893/spoof/000222.jpg,5,1,2,1
Data/train/1287/live/000224.jpg,0,0,0,0
Data/train/436/spoof/000226.jpg,1,2,1,1
Data/train/9/spoof/000232.jpg,1,1,1,1
Data/train/1484/live/000234.jpg,0,0,0,0
Data/train/8947/spoof/000235.jpg,9,1,2,1
Data/train/544/spoof/000238.jpg,1,2,1,1
Data/train/1976/spoof/000239.jpg,2,2,2,1
Data/train/4195/spoof/000244.jpg,5,1,1,1
Data/train/956/spoof/000245.jpg,1,2,2,1
Data/train/8903/spoof/000246.jpg,9,4,1,1
Data/train/1303/live/000250.jpg,0,0,0,0
Data/train/9001/spoof/000251.jpg,9,1,2,1
Data/train/8170/spoof/000254.jpg,9,1,1,1
Data/train/7864/live/000256.jpg,0,0,0,0
Data/train/1209/live/000257.jpg,0,0,0,0
Data/train/7963/spoof/000261.jpg,8,1,2,1
Data/train/199/spoof/000262.jpg,1,1,1,1
Data/train/535/live/000266.jpg,0,0,0,0
Data/train/9056/spoof/000269.jpg,9,1,2,1
Data/train/1892/live/000274.jpg,0,0,0,0
Data/train/929/spoof/000280.jpg,1,2,2,1
Data/train/4874/spoof/000282.jpg,5,1,2,1
Data/train/1861/spoof/000287.jpg,2,1,2,1
Data/train/1705/spoof/000288.jpg,2,3,1,1
Data/train/9135/spoof/000290.jpg,9,3,2,1
Data/train/1607/spoof/000292.jpg,2,2,1,1
Data/train/1086/spoof/000295.jpg,2,1,1,1
Data/train/7804/spoof/000296.jpg,8,3,1,1
Data/train/2021/live/000298.jpg,0,0,0,0
Data/train/4752/spoof/000300.jpg,5,3,1,1
Data/train/350/live/000302.jpg,0,0,0,0
Data/train/444/spoof/000303.jpg,1,2,1,1
Data/train/9040/spoof/000305.jpg,9,1,2,1
Data/train/8454/live/000308.jpg,0,0,0,0
Data/train/12/live/000309.jpg,0,0,0,0
Data/train/4825/spoof/000312.jpg,5,4,1,1
Data/train/5040/live/000313.jpg,0,0,0,0
Data/train/8515/spoof/000315.jpg,9,1,1,1
Data/train/9136/spoof/000316.jpg,9,4,2,1
Data/train/4726/spoof/000318.jpg,5,3,1,1
Data/train/8239/live/000319.jpg,0,0,0,0
Data/train/7449/spoof/000320.jpg,8,1,1,1
Data/train/8550/spoof/000321.jpg,9,1,1,1
Data/train/1155/spoof/000323.jpg,2,1,1,1
Data/train/1879/live/000324.jpg,0,0,0,0
Data/train/60/spoof/000325.jpg,1,1,1,1
Data/train/1679/spoof/000326.jpg,2,3,1,1
Data/train/469/spoof/000329.jpg,1,2,1,1
Data/train/676/spoof/000330.jpg,1,4,1,1
Data/train/4598/live/000333.jpg,0,0,0,0
Data/train/4950/spoof/000334.jpg,5,1,2,1
Data/train/8729/spoof/000335.jpg,9,2,1,1
Data/train/7398/spoof/000337.jpg,8,1,1,1
Data/train/485/spoof/000340.jpg,1,2,1,1
Data/train/423/live/000342.jpg,0,0,0,0
Data/train/5105/spoof/000343.jpg,5,1,1,1
Data/train/8862/live/000344.jpg,0,0,0,0
Data/train/7337/live/000345.jpg,0,0,0,0
Data/train/1086/spoof/000349.jpg,2,1,1,1
Data/train/8536/spoof/000350.jpg,9,1,1,1
Data/train/1216/spoof/000351.jpg,2,1,1,1
Data/train/212/live/000352.jpg,0,0,0,0
Data/train/8212/spoof/000353.jpg,9,2,1,1
Data/train/8437/spoof/000355.jpg,9,1,1,1
Data/train/7906/spoof/000362.jpg,8,4,1,1
Data/train/4613/spoof/000363.jpg,5,2,1,1
Data/train/9043/live/000364.jpg,0,0,0,0
Data/train/357/live/000366.jpg,0,0,0,0
Data/train/8212/spoof/000368.jpg,9,2,1,1
Data/train/7232/live/000369.jpg,0,0,0,0
Data/train/4654/spoof/000371.jpg,5,2,1,1
Data/train/7616/spoof/000374.jpg,8,2,1,1
